Area,URL,Entities,Keywords,Strategies
Segera Conservancy,https://www.segerarhino.com/,"['Kenya', 'Kenya', 'Segera Rhino', 'Kenya Rhino Range', 'KRRE', 'Central Kenya', 'UN Sustainable', 'Social', 'Central Kenya', 'Segera Conservancy', 'Rhino Sanctuary', 'Rhino', 'Kenya', 'ZEITZ', 'Kenya', 'Segera Rhino Sanctuary', 'Kenya', 'Rhino Sanctuary', 'Segera Ward', 'Central Kenya', 'Segera Conservancy', 'El Karama', 'Laikipia National Park', 'Singapore', 'Segera Conservancy', 'El Karama', 'LNP', 'Segera Rhino', 'Segera Conservancy', 'Kenya', 'Segera Conservancy', 'Rhino Sanctuary', 'Kenya Rhino', 'KRRE', 'Kenya', 'Rhino Sanctuary', 'Kenya', 'Segera Conservancy', 'Segera Conservancy', 'El Karama', 'LNP', 'Nature', 'Kenyan Government', 'Kenya Wildlife Service', 'KWS', 'Kenya', 'Kenya', 'UN', 'Association', 'Private', 'Community Land Rhino Sanctuaries', 'APLRS', 'Kenya', 'Kenya Wildlife Service', 'KWS', 'APLRS', 'Kenya', 'Kenya Wildlife Service', 'KWS', 'Kenya', 'Kenya', 'OECMs', 'APLRS', 'Laikipia', 'Kenya', 'Protected Area Conservation', 'Rhino Range', 'Laikipia', 'IUCN', 'Social Assessments', 'Protected', 'Conserved Areas', 'SAPA', 'RRE', 'Sustainable', 'Kenya', 'Kenya', 'Gross Domestic Product', 'GDP', 'National', 'Ecosystem Services', 'Expansive', 'LAIKIPIA Central Kenya', 'Kenya', 'Masai Mara', 'Kenya', 'Grevy', 'Topography', 'Mount Kenya', 'Segera Rhino Sanctuary', 'Kenya', 'Laikipia Rhino Range Expansion', 'LRRE', 'Segera Conservancy', 'El Karama', 'Laikipia National Park', 'Segera Conservancy', 'KWS', 'El Karama', 'ZEITZ', 'East Africa', 'ZEITZ', 'Canine K9 Unit', 'Stevie', 'Mickey', 'Lindsey', 'Segera Conservancy', 'Zeitz Foundation', 'Life', 'Kenya', 'Life', 'ZEITZ', 'Jochen Zeitz', 'ZEITZ', 'Zeitz', 'Kenya', 'ZEITZ', 'ZEITZ', 'ZEITZ', 'SATUBO Beading Group', 'ZEITZ', 'Ranger Academy', 'ZEITZ', 'Segera', 'Community', 'Culture', 'Commerce', 'ZEITZ', 'Long Run', 'ZEITZ', 'Long Run', 'Segera Conservancy', 'Long Run Destinations']","['Central', 'Kenya', 'perfect', 'rhino', 'country', 'home', 'thousands', 'rhinos', 'species', 'decimated']","Central Kenya, KRRE, LNP, IUCN, Private, Zeitz Foundation, LRRE, AfricanMecca Ltd City View, Union Street Manchester, GDP, Trip Experiences For Kenya Below, LAIKIPIA Central Kenya, SATUBO Beading Group, Ecosystem Services, Africa Travel Guide, AFRICANMECCA, ZEITZ, Canine K9 Unit, AfricanMecca, Laikipia, All Rights Reserved, Suite, National, Segera Ward, Commerce, Kenya Wildlife Service, Community Land Rhino Sanctuaries, Africa, Jochen, RRE, UN Sustainable, Social Assessments, Protected, Laikipia Plateau, Laikipia Conservancies, Aberdare Mountains, Specialist Guidance For Your Travels In Laikipia, Lodges, Kenya Rhino Range, KWS, For Laikipia Conservancies, Masai Mara, Experienced, Community, UN, Kenya Rhino, Kenyan Government, OECMs, Protected Area Conservation, Life, LAIKIPIA, House, Segera Rhino, APLRS, Association, Sustainable, International, Conserved Areas, AfricanMecca Safaris, Long Run, Segera, Laikipia National Park, White Rhino, Conservation, SAPA, Segera Conservancy"
Aberdare National Park,https://climate.co.ke/forests-conservation-challenges-in-kenya-case-study-aberdare-mega-highway/,"['International Forests', 'International', 'United Nations', 'Indigenous', 'Aberdare National Park', 'Kenya', 'Sasumua', 'Ndakaini', 'Kenya', 'Nairobi', 'Tana River', 'Kenya', 'Nyandarua', 'Nyeri', 'Aberdare Ranges', 'Conservation Alliance', 'Kenya', 'African Wildlife Foundation', 'Kenya', 'Aberdare', 'NEMA', 'Mamo Boru', 'Environmental Journalist', 'Journalism', 'Mass', 'Technical University', 'Mombasa', 'Emmanuel Kerr', 'Kerr']","['celebrations', 'International', 'Forests', 'Day', 'underway', 'activities', 'like', 'tree', 'planting', 'aimed']","Conservation Alliance, Translocation, Environmental Journalist, IUCN, KWS Strategic Plan, Parliament, Aberdare National Park, Gross Domestic Product, Kenya Wildlife Service, Aberdare Ranges, Ministry, Technical University, KFS, KWS, Cabinet, Kenya Forest Service, Aberdare, International, GPS, Immobilization Protocol, International Forests, Mwea National Reserve, Mass, African Elephant, NEMA, Elephant, United Nations"
Masai Mara National Reserve,https://www.masaimara.com/conservation-masai-mara.php,"['Sadruddin Aga', 'Masai Mara National Reserve', 'Maasai', 'Masai Mara', 'Masai Mara National Reserve', 'Narok County Council', 'NCC', 'Masai Mara National Reserve', 'Mara Triangle', 'Mara Conservancy', 'National Reserve', 'Ranch Trusts', 'Maasai Community', 'Mara Triangle', 'Mara Conservancy', 'Mara Triangle', 'Mara Conservancy', 'Mara Triangle', 'Serengeti National Park', 'Maasai', 'Mara Conservancy', 'Mara Triangle', 'Thompson', 'Mara Triangle', 'Mara Triangle', 'Mara Triangle', 'Masai Mara', 'Maasai Mara Wildlife', 'MMWCA', 'Maasai Mara', 'Kenya', 'Masai Mara', 'MMWCA', 'Greater Masai Mara', 'Maasai', 'Maasai', 'Maasai', 'Maasai', 'Maasai', 'Kenya', 'Masai Mara', 'Masai', 'Maasai', 'Maasai', 'Simba Scouts', 'Maasai', 'Masai', 'Mara', 'Masai Mara', 'FAQ']","['need', 'nature', 'nature', 'needs', 'us', 'looked', 'upon', 'awe', 'humility', 'Sadruddin']","Serengeti National, CONSERVATION, Olare Motorogi Conservancy, Lemek Conservancy, Olooloo Escarpment, Simba Scouts, SAFARI, Mara Conservancy, Great Migration, Mara River, Olderkesi, Mara Ol Kinyei Conservancy, NATIONAL, Mara Naboisho, Narok County Council, Leopard Gorge, National Reserve, Masai Mara National Reserve, Maasai, MARA, Great Masai Mara, Masai Mara, Serengeti National Park, MMWCA, Mara, FAQ, Maasai Mara Wildlife, Maa, NCC, Greater Masai Mara, Great, Mara North Conservancy, AccommodationLuxury Accommodation, Mara Triangle, ORIGINS OF, MASAI, Mara Naboisho Conservancy, Olderkesi Wildlife Conservancy, Narok Country Council, Maasai Community, Loita Hills"
Arabuko Sokoke Nature Reserve,https://www.kws.go.ke/sites/default/files/2019-11/Arabuko%20Sokoke%20Forest%20Strategic%20Management%20Plan%20%282002-2027%29_0.pdf,[],[],"Community Forest, Community Forest Associations, CFA, Community, Wildlife Clubs, Participatory Forestry Management, Kenya Wildlife Service, Household"
Kisumu Impala Sanctuary,https://www.kws.go.ke/sites/default/files/2019-11/Kisumu%20Impala%20Sanctuary%20Management%20Plan%20%282010-2015%29_0.pdf,[],[],"MPesa, RTGS, EFT, WCMA, AccommodationLuxury Accommodation, KWS, Kisumu Impala, Management Act, Air, Road, SAFARI, Kisumu International Airport, MODE OF, Environmental"
Mwaluganje Elephant Sanctuary,https://www.elesanctuary.org/,['Mod_Security'],"['appropriate', 'representation', 'requested', 'resource', 'could', 'found', 'server', 'error', 'generated']","MES, Kaya Mtae, Shimba Hills, Shimba Hills National Reserve, Mombasa, AFRICA, Africa, Mwaluganje Elephant, All Rights, Sanctuary, African, FOCUS, Taita Hills, Mwaluganje, Mod_Security, AccommodationLuxury Accommodation, Riverine, Digo, Ngorongoro Conservation Area"
Nairobi Animal Orphanage,https://www.kws.go.ke/nairobi-animal-orphanage,"['Set', 'Nairobi National Park', 'Animal Orphanage', 'Kenyans', 'Nairobi Animal Orphanage', 'Nairobi Central Business District', 'Nyayo National Stadium', 'Lang', 'Road', 'Langata Army Barracks', 'Citizen Resident', 'Adults KSH Child', 'MODE OF', 'Ecitizen', 'MPesa', 'Visa Card', 'RTGS', 'Electronic Funds Transfer', 'EFT', 'Vehicle Charges', 'Wildlife Lion', 'Leopard', 'Birds Parrots', 'Climate', 'March', 'Orphanage', 'Volunteer', 'Kenya Wildlife Service Human Capital Division', 'Training Department', 'Nairobi', 'Animal Adoption', 'Email', 'Toll Free', 'Kenya Wildlife Service', 'KWS', 'Kenya', 'Wildlife Conservation', 'Management Act', 'WCMA', 'Kenyan', 'Kenya']","['Set', 'amidst', 'lush', 'green', 'vegetation', 'Nairobi', 'National', 'Park', 'Animal', 'Orphanage']","WCMA, Langata Army Barracks, Matbronze Cafe, Nairobi Railway Station, Nairobi Safari Walk, Kenya Wildlife Service, Nairobi Animal Orphanage, Nairobi, EFT, KWS, Animal Orphanage, Kenya Wildlife Service Head, Nairobi Animal, MPesa, RTGS, Park, Orphanage, Training Department, NNP, Management Act, WhatsApp, Nairobi Central Business District, Khadzonzo, Nairobi National Park, African Shorthair, MODE OF"
Nairobi Safari Walk,https://www.kws.go.ke/nairobi-safari-walk,"['Safari Walk', 'River Mokoyet', 'Nairobi National Park', 'Nairobi Safari', 'Crocodiles', 'Pigmy Hippo', 'Kenyans', 'Nairobi Safari Walk', 'Nairobi Safari Walk', 'Nairobi Central Business District', 'Nyayo National Stadium', 'Lang', 'Road', 'Langata Army Barracks', 'Citizen Resident', 'Adults KSH Child', 'MODE OF', 'Ecitizen', 'MPesa', 'Visa Card', 'RTGS', 'Electronic Funds Transfer', 'EFT', 'Animal Adoption Program', 'Resource Mobilization', 'Vehicle Charges', 'Children', 'Museum', 'Wildlife', 'Cheetah', 'Park Size', 'Climate', 'March', 'Nairobi Safari Walk Children', 'Volunteer', 'Human Capital Training Department', 'Nairobi', 'Email', 'Nairobi Safari Walk', 'PO', 'Nairobi', 'Kenya Wildlife Service', 'KWS', 'Kenya', 'Wildlife Conservation', 'Management Act', 'WCMA', 'Kenyan', 'Kenya']","['Characterized', 'three', 'simulated', 'major', 'ecosystems', 'namely', 'wetland', 'savannah', 'forest', 'Safari']","GUEST, WCMA, National Parks, Langata Army Barracks, Human Capital Training Department, KWS Conservation Fees, HOUSE, Nairobi Safari Walk, All Rights Reserved, Kenya Wildlife Service, National Sanctuaries, Nairobi Safari, EFT, KWS, Masai Mara, Safari Walk, National Reserves, MPesa, RTGS, PO, NNP, Management Act, Nairobi Safari Walk Children, Nairobi Central Business District, eCitizen, Toll Free, Nairobi National Park, MODE OF"
Lake Bogoria National Reserve,https://baringo.go.ke/assets/file/LBNR-Mngt-Plan-2021-min.pdf,['Mod_Security'],"['appropriate', 'representation', 'requested', 'resource', 'could', 'found', 'server', 'error', 'generated']","ABS, GUEST, Nagoya, WCMA, National Parks, Nature Conservancy, UNEP, GEF, Administrative, HOUSE, TNC, Biodiversity Research, Environment, Biological, Lake Bogoria Management Plan, All Rights Reserved, Lake Bogoria Spa Resort, Kenya Wildlife Service, CBD, Ministry, Nagoya Protocol, Convention, National Sanctuaries, Coordination Act, Rtd, KWS, African, EMCA, Soda Lakes, National Reserves, CAS, NACOSTI, Mod_Security, Soda Lake, GIZ, Endorois, Baringo, UNDP, Management Act, Environmental Management, State Department, Toll Free, National Commission"
Mount Kenya National Park,https://mountkenyawildlifeconservancy.org/,"['MKWC', 'Mount Kenya Wildlife Conservancy', 'MKWC', 'Conservancy', 'Nanyuki', 'Mount Kenya', 'UNESCO', 'Updates Stay', 'Mount Kenya Wildlife Conservancy', 'Gallery View', 'Animal Orphanage', 'Mountain Bongo', 'Animal Orphanage Located', 'Mount Kenya Wildlife Conservancy', 'Animal Orphanage', 'Orphanage', 'Mountain Bongo', 'Mount Kenya Wildlife Conservancy', 'MKWC', 'Mountain Bongo', 'Become Part', 'Conservation', 'Mount Kenya', 'Mountain', 'Mountain Bongo', 'Trek', 'Bongo', 'Mountain Bongo', 'Trek', 'Mount Kenya', 'Lenana Peak', 'Bongo', 'Trek', 'Trek', 'Mountain Bongo', 'Mountain Bongo', 'Mount Kenya', 'Lenana', 'Janus Continental Group', 'Hot', 'Mountain Bongo', 'Mountain Bongo', 'GET', 'Mount Kenya Wildlife Conservancy Mt', 'Kenya', 'Lenana Peak', 'Stay', 'Touch', 'Kenya Safari Club', 'Nanyuki', 'Kenya', 'Nanyuki Stay']","['Anniversary', 'Story', 'News', 'Updates', 'Serving', 'beacon', 'conservation', 'preserving', 'protecting', 'nature']","GET, Kenyan Highlands, WCMA, Environment Management, Water Act, LWC, UNESCO, Hinder Valley, Nanyuki, Afro Tropical Mountain, Mount Kenya Wildlife Conservancy, Mount Kenya Ecosystem Management Plan, MKWC, Kikuyu, Mountain Bongo, Mount Kenya Forest Reserve, Lewa Wildlife Conservancy, National Land Policy, States Parties, Hot, Laikipia, Board, Agikuyu, Podocarpus, Mount Kenya, Nomination, Kenya Wildlife Service, Partners Donate Take, Furnished, Ministry, Visitors, Matthew, KFS, EFT, Coordination Act, KWS, Animal Orphanage, Resident Adults, Forest Act, Community Forestry Associations, Kenya Forest Service, CFAs, Mount Kenya Wildlife Conservancy Mt, Bongo, Wildlife Act, Conservatoire, MPesa, Conservancy, RTGS, Trek, Orphanage, Management Act, Conservation, State Party, NFUAJ, Mountain, WC, MODE OF, Trustees, Important Information"
